date,objectid,profession,entities_all,title,organization,place,place-original,gender,statement,chairman,name,affiliation,last-name,first-name,day,key,entities_unique,format
Aug-17-1983,aug-17-1983-eckwright-gail,,Kelly Creek (STREAM);Kelly Creek (STREAM);Kelly Creek (STREAM);Kelly Creek (STREAM);Cayuse Creek (STREAM);Kelly Creek (STREAM);Kelly Creek (STREAM);Orogrande Creek (STREAM);Kelly Creek (STREAM);Cayuse Creek (STREAM);Creek (STREAM);Toboggan Creek (STREAM);Orogrande Creek (STREAM);Toboggan Ridge Road (LANDFORM),"Eckwright, Gail",,Moscow,"Moscow, Idaho",f,"Ms. Eckwright. Thank you. I want to talk about the Kelly Creek  area of the proposed wilderness. And I would like to say, first of  all, that I was there just a week ago today. And some of the things  that I saw, were, first of all, the roads that we traveled on. And the  roadsâ€”one of the main roads we were on was a CCC road that we  estimate was built maybe 50 years ago. And probably one of the  first things we noticed was that it is unstable even now in many  spots. That is to say, that we saw a slumpâ€”a major slump area  that is still emptying itself into Kelly Creek. And we noticed, also,  that it&#39;s been surveyed for widening which indicated to us that it  was going to be causing more slumps and more damage to the  Kelly Creek watershed.  The soil of the area was fragile, fine soils of the Idaho Batholith.  Especially the area that was unstable, we noticed, was the fine micaceous soil which was almost like sand. And it was obvious to us  that it was not going to hold up during the sort of use or any further roadbuilding. And we felt that any further roadbuilding in  that area would directly contribute to the degradation of Kelly  Creek and to its tributaries.  673  We also saw and fished in the Cayuse and Kelly Creeks. And we  noticed that the water quality was excellent at this time. It was  beautiful. You could see all the way to the bottom every place. It  was totally unsilted. And one of the other things that you might be  interested in knowing about was that there were people from all  over the State fishing there. We saw license plates from everywhere. So it&#39;s not something that&#39;s just used locally. But it&#39;s something that&#39;s used by many people in the State. And in comparing it  to some other areas that have been logged right near Kelly Creek  we noticed that the Orogrande Creek, which has apparently been  logged recentlyâ€”it was a smaller creek. And it was dirtier. It was  full of silt and mud. There wereâ€”whoever had logged it had logged  all the way down to the creek. And the cull logs were still lying in  the creek. And it was obvious that this would cause problems in  the future. The fishâ€”fishâ€”there wouldn&#39;t be a variance of fish  that would cause the water temperature to change and that sort of  thing.  So if that was an example of logging practices in the area, I can  guarantee you that you would ruin Kelly Creek and Cayuse Creek  and Toboggan Creek. You would ruin all the fish in those areas if  this is the type of logging that&#39;s been proposed.  And, also, we noticed that there was no erosion control whatsoever in the area that had been logged, again, on the Orogrande  Creek.     The timber itselfâ€”we went all the way up Toboggan Ridge Road.  And we noticed that the timber was something like 4 to 6 inches in  diameter. Mostly lodgepole pine. And as we went up higher in the  elevation, the trees were smaller. And there were, of course, fewer  of them. Also, we saw many more meadows as we went higher up.  So the timber itselfâ€”the timber resources are not that great.","Thank you very much. Appreciate your testimo-

ny. Ruth Bull.  D. J. Grim.",GAIL ECKWRIGHT,"MOSCOW, IDAHO",Eckwright,Gail,h2d2,"eckwright, gail",Kelly Creek (STREAM); Cayuse Creek (STREAM); Orogrande Creek (STREAM); Creek (STREAM); Toboggan Creek (STREAM); Toboggan Ridge Road (LANDFORM),text
Aug-17-1983,aug-17-1983-gray-peter,,Moscow (CITY);Alaska (STATE);Mallard-Larkins (WILDERNESS);Mallard-Larkins (WILDERNESS);Minnesahka Creek (STREAM);the Little North Fork (STREAM);Lakes Butte (LAKE);Collins Creek (STREAM);Lakes (LAKE);Heritage Cedar Grove (FOREST),"Gray, Peter",,Moscow,"Moscow, Idaho",m,"Mr. Gray. Yes. Senator McClure, I&#39;m Peter Gray. And I&#39;m from  Moscow, Idaho. And as and Idahoan, I am very proud of our wilderness heritage. Even though Idaho has the most designated wilderness land of any State except Alaska, it is still small compared to  the forested lands used for other purposes.  Americans need wilderness to preserve species whose habitats  have been greatly reduced by the inroads of man and to provide a  sample to ourselves and to future generations of what our continent was like prior to settling.  I support the inclusion of the 10 core areas as endorsed by Idaho  conservation groups. I oppose the hard release language for the  Idaho Wilderness Bill. Future generations should be free to designate additional wilderness lands if they choose to do so. I am opposed to subsidized logging roads and deficit timber sales. Why  should the taxpayers have to pay for roadbuilding which exceeds  the value of timber in the area? Roadbuilding in many areas results in silting of streams and destruction of fisheries. The Idaho  batholith soil is particularly subject to erosion when disturbed by  roadbuilding operations. This is of particular importance when one  considers that Idaho has some of the best sport fishing streams in  the world.  One area I&#39;d like to focus on right now is the Mallard-Larkins     area. And the Mallard-Larkins is a truly spectacular area replete  with numerous high mountain cirque-basin lakes and ridges connected by several trails. This area should be expanded to include  the canyon of Minnesahka Creek, the Little North Fork of the  Clearwater, Five Lakes Butte, Collins Creek, the Pete Ott-Elizabeth  Lakes complex and the Heritage Cedar Grove, which is a small  stand of virgin western red cedar that escaped the 1910 fire. And I  oppose any attempts to divide this area in half with logging roads  and timber sales.  I urge you, Senator, please do not make any hasty decisions that  provide a quick, short-term profit that will prove ruinous in the  long run. Many other areas are now being managed to insure a  continuous, cost-effective timber supply. It is much easier for the  next generation to remove a land from wilderness out of stump  ranches and rivers of mud.  Thank you.",,PETER GRAY,"MOSCOW, IDAHO",Gray,Peter,h2d2,"gray, peter",Moscow (CITY); Alaska (STATE); Mallard-Larkins (WILDERNESS); Minnesahka Creek (STREAM); the Little North Fork (STREAM); Lakes Butte (LAKE); Collins Creek (STREAM); Lakes (LAKE); Heritage Cedar Grove (FOREST),text
Aug-17-1983,aug-17-1983-krumpe-dr-ed,,America (COUNTRY);America (COUNTRY);Alaska (STATE);the Salmo Priest (WILDERNESS);Selkirk Crest (LANDFORM);Mallard-Larkins (WILDERNESS);French Creek (STREAM);Lake Creek (STREAM);White Clouds (WILDERNESS);White Cloud-Boulder Mountain (LANDFORM);Palisades (LANDFORM),"Krumpe, Dr. Ed",,Moscow,"Moscow, Idaho",m,"Dr. Krumpe. My name is Ed Krumpe. And I do appreciate the  time and effort that you and your staff have taken to collect public  testimony prior to formulating legislation for additional wilderness  in this great State.  Let me say that I endorse as a minimum the Idaho Conservation  League recommendation for endangered wilderness core areas. But  I support this recommendation because I believe wilderness is a  truly valuable, if little understood, natural resource.  715  Of course, a resource is defined as something that has value and  is useful to mankind. And I believe that wilderness does, indeed, fit  that description. We see evidence of this almost daily.  Perhaps more so than in any other state I&#39;ve lived in are the  residents of this State proud to be from Idaho. And what&#39;s the basis  of this pride? It seems like time after time people talk about and  mention the rich blessing of natural resources. The scenic beauty,  clear flowing streams and rivers, our porous and rugged mountains, all of which serve as a backdrop to our rich farmland and  rangeland and prosperous communities. But not only do the citizens of Idaho recognize this high quality of our natural resources, I  believe that people from all over America are attracted by its  beauty. It&#39;s tourism continues to grow and increase in America and  in Idaho and becomes a leading industry, our resource base will  become even more valuable.  But it&#39;s also this resource base that helps give Idaho the reputation of a great place to live. This fact becomes increasingly important to our State economy as industry seeks places to locate and to  grow. So we must keep in mind that one of the keys to this attractiveness is the quality and naturalness of our forests and mountains and streams. This quality of the natural resources, protected  and perpetuated, is perhaps no better than in designated wilderness areas.  Now, it&#39;s true that Idaho has a large core of wilderness second     only to Alaska. And these areas have served well in providing pure  waters for wild salmon and trout and extinct habitat for big game  as well as a place for people to recreate. But we need to have such  high quality natural resource areas spread throughout the State  from the Salmo Priest and Selkirk Crest area in the north to the  Mallard-Larkins and Great Burn, French Creek and Lake Creek  areas further down to the White Cloud, Boulder Peak, and Palisades in the south. I think that protection should be granted to  show that there is a wide distribution of wilderness allowed to  remain in its natural state.  In conclusion, I recognize that we must provide for the intensive  management and utilization of our natural resources if we are to  supply the needs of industry in a healthy economy. This is as it  should be. With proper care and management, our forest and  rangelands should be productive for years to come. But interspersed throughout these harvest-oriented lands should be a system  of areas where the quality of the resources is protected by its very  naturalâ€”protected by wilderness designation. Thank you.","Thank you. Thank you very much. I only have a

couple of questions.

Mr. Pinkham, an earlier witness made note of the fact that as a

logger, he had purchased timber sales from the Nez Perce Tribe.

And I note in your testimony you&#39;ve suggested that no resource de-

velopment should take place until its impact upon anadromous

fisheries has been evaluated. Would I be correct in assuming that

the Nez Perce Tribe has made that evaluation before making any

sales of timber resources?

Mr. Pinkham. Yes, we have. We have a bilogical staff that&#39;s hea-

dered by Mr. Jim Johnson. And he hasâ€”and we have been doing a

716

survey within reservation boundaries as it exists now. And he is

evaluating, you know, that situation.

You know, the policy of the Nez Perce Tribe is to develop our

resources in a controlled manner so that the impact upon our natu-

ral resources is notâ€”you know, duly does not affect it adversely as

much as possible.

The Chairman. But it&#39;s not a nondevelopment policy.

Mr. Pinkham. No. But we do have resources that we do develop.

But some of this area that we&#39;re talking about here today is outside

of ourâ€”of our boundary now that exists. But then the areas that

have been spoken to today is within the 55 seed area and some of

our aboriginal areas. And we are very concerned about some of

those areas that contribute to anadromous fisheries.

The Chairman. Thank you very much. Mr. Hoge and Mr. Wal-

lace both made reference to the Kelly Creek and Cayuse Creek.

Various people have suggested that that be included in a wilder-

ness area. I would gather from your testimony, although you did

not say that, that was your intention, also.

Mr. Hoge. Yes, sir.

The Chairman. Is that correct?

Mr. Hoge. Yes, sir.

The Chairman. Do you advocate closing the road?

Mr. Hoge. No, I advocate leaving them just like they are.

The Chairman. A wilderness area is a roadless area.




Mr. Hoge. Oh. Well, I guess, then, they&#39;d have to be closed.

The Chairman. You would rather close it and have it wilderness

than leave the roads.

Mr. Hoge. Yeah. Yes, that&#39;s it.

The Chairman. Thank you. Thank you, gentlemen. I have no

further questions. Thank you very much for your testimony.

The following people have identified themselves as having been

on panels and were not here at the time their names were called. If

they will come forward, please, to testify. Jim Reece of panel 11

and Bill Voxman from panel 11. Mr. Marvin Lambrecht and

George W. Cassell, Jeff Goebel, Antone Holmquist from panel 12.

Kally Thurman, panel 13. Hank boomer and Ruth Bull from panel

No. 14.

Jim Reece.",DR. ED KRUMPE,"MOSCOW, IDAHO",Krumpe,Dr. Ed,h2d2,"krumpe, dr. ed",America (COUNTRY); Alaska (STATE); the Salmo Priest (WILDERNESS); Selkirk Crest (LANDFORM); Mallard-Larkins (WILDERNESS); French Creek (STREAM); Lake Creek (STREAM); White Clouds (WILDERNESS); White Cloud-Boulder Mountain (LANDFORM); Palisades (LANDFORM),text
Aug-17-1983,aug-17-1983-reece-james-r,,Mallard-Larkins (WILDERNESS);Minnesaka Creek (STREAM);Little North Fork Canyon (LANDFORM);Canyon (LANDFORM);Creek (STREAM);Minnesaka Creek (STREAM);Smith Ridge (LANDFORM);Canyon (LANDFORM);Creek (STREAM);the Little North Fork (STREAM);Mallard-Larkins Wilderness (WILDERNESS),"Reece, James R.",,Moscow,"Moscow, Idaho",m,"Mr. Reece. Thank you, Senator. I&#39;ve come to testify today because I&#39;m concerned, I guess, that in the current economicâ€”I&#39;m  concerned that in the current economic climate and given the  recent hard times in timber and mining that decisions regarding  Idaho&#39;s roadless areas will be unduly influenced by these economic  factors and that the long term and less easily measured benefits of  a large and diverse Idaho wilderness system will be lost in the discussion of the number of jobs to be won by opening these lands to  multiple use management.  I realize at the same time that some lands currently protected by  RARE II need to be opened to development and that this development is important and even crucial to Idaho&#39;s future economic  health. But I feel strongly that the solutions to Idaho&#39;s wilderness  717  question now being proposed by both the Idaho Forest Industry  Council and the Forest Service itself are too restrictive and ultimately shortsighted in their approach. I am also concerned that a  hurried solution to the wilderness question nowâ€”before many of  these areas have been adequately studiedâ€”will lead to the irreversible loss of wild lands, a loss that is neither necessary nor economically justified.  I would like to comment more specifically upon the proposed  Mallard-Larkins wilderness for it is this area that I am most familiar with and one that I especially prize as a valuable recreational  resource for Idaho.  I support the establishment of a Mallard-Larkins Wilderness of  approximately 200,000 acres; that is, an area one third again larger  than 156,000 acres proposed by the Forest Service and nearly four  times larger than the area foreseen in the Industry Council proposal. I am convinced that the larger area is needed in order to preserve the natural integrity of the area and to provide for its effective management as wilderness.  It is particularly important that the Minnesaka Creek drainage  and the Little North Fork Canyon to the west and the Canyon  Creek drainage to the north be included in the wilderness system.  These areas are best managed if they are left in their present  primitive state. It is hard for me to imagine, for instance, how the  steep slopes of the Minnesaka Creek drainage could possibly be     logged without seriously compromising the quality of the watershed and effectively destroying an important fall habitat for elk.  Certainly the logging practices use nearby Smith Ridgeâ€”immediately to the west of the present pioneer areaâ€”do not inspire confidence that the area can be logged without major and irreversible  damage to the delicate ecological system. To the north, the Canyon  Creek drainage has been rated by the Idaho Fish and Game Department as one of the best roadless areas for elk in the northern  part of the State while the canyon of the Little North Fork represents one of the most beautiful wild river canyons in Idaho.  In my view, the long-term benefits to water quality, fish and  wildlife populations, and to recreation far outweigh the short-lived  economic benefit to be gained by harvesting timber in these specific regions. I strongly urge the committee, therfore, to consider the  inclusion of these important areas in the proposed Mallard-Larkins  Wilderness. Thank you.",Thank you very much. Mr. Bill Voxman.,JAMES R. REECE,"MOSCOW, IDAHO",Reece,James R.,h2d2,"reece, james r.",Mallard-Larkins (WILDERNESS); Minnesaka Creek (STREAM); Little North Fork Canyon (LANDFORM); Canyon (LANDFORM); Creek (STREAM); Smith Ridge (LANDFORM); the Little North Fork (STREAM); Mallard-Larkins Wilderness (WILDERNESS),text
Aug-17-1983,aug-17-1983-voxman-bill,,Moscow (CITY);United States (COUNTRY);Mud Lake (LAKE);Kelly Creek (STREAM);Mallard-Larkins (WILDERNESS);Kelly Creek (STREAM);Minnesaka (STREAM);Canyon Creek (STREAM);Mallard-Larkins (WILDERNESS);the Little North Fork (STREAM);Kelly and Cayuse Creeks (STREAM);Mallard-Larkins (WILDERNESS);Minnesaka (STREAM);Canyon (LANDFORM);the Little North Fork (STREAM);Kelly and Cayuse Creeks (STREAM);the Great Burn Wilderness Area (WILDERNESS);Kelly Creek (STREAM);Cayuse Creek (STREAM);Creeks (STREAM);Iowa (STATE);Kelly Creek (STREAM);Cayuse Creek (STREAM);Kelly and Cayuse Creeks (STREAM),"Voxman, Bill",,Moscow,"Moscow, Idaho",m,"Mr. Voxman. Bill Voxman from Moscow, Idaho, representing  only myself. And I hope that the views will be shared by others as  well.  In these deliberations I believe it essential that the wilderness  question be viewed from the proper perspective. It seems to me  that the basic question to be resolved is not how much wilderness  is to be gained, but rather how much wilderness we can afford to  lose. As you know, most of the roadless areas currently being studied for wilderness classification are presently, in fact, wilderness  areas, though they lack formal classification as such. Any plan re718  suiting from these hearings can only diminish the amount of wilderness we now enjoy in Idaho. The real question then is, to what  extent should these areas be decreased. I suspect that even many of  those who feel that no more wilderness is desirable base this view  on their satisfaction with the status quo and do not fully realize  that many of the areas which they now perceive as wilderness will  no longer be so.  I am certainly not in favor of locking up even a major portion of  our forests from development. Indeed, as a State employee, my job  and salary are largely dependent on the economy of the State,  which in turn is obviously influenced by the health of the timber  industry. Clearly, an appropriate balance between the needs of the  timber industry and the advantages to be derived from wilderness  areas must be achieved.  In trying to determine this balance it is essential that we do not  lose sight of Idaho&#39;s unique situation. Our lakes, streams, and forests are among the most magnificent to be found in the United  States. But these resources are finite, a concept with which most  Americans have difficulty. And the number of people who wish to  take advantage of them is steadily increasing. It is easy enough to  create people, but it is impossible to create a new Mud Lake, a new  Kelly Creek, new giant cedar groves, and new untouched game  habitat. Thus, the best we can do for ourselves and succeeding generations is to protect this State&#39;s unique heritage, even if this     means, and I doubt that it does, a more modest living standard for  some of us. What may seem to be adequate now may not appear to  be so in the future.  I make no pretext of being an economist, but I would not be surprised that any short-term loss of revenue to the timber industry  resulting from the classification of additional areas as wilderness  would be more than offset over the long run by increased economic  gains in sectors tied to tourism and recreation. Consequently, if we  are far-sighted and careful, we can, in some sense, be in the enviable position of having our cakeâ€”our natural heritageâ€”and eating  it, tooâ€”economic gains derived from this heritage.  I certainly am not familiar with all of the regions that are being  considered for wilderness classification. The two with which I am  most familiar are the Mallard-Larkins and the Kelly Creek regions.  Regions that have already been clearly discussed. I would second  what the previous speaker has just said as far as the Minnesaka  and Canyon Creek drainaged of the Mallard-Larkins area as well  as the Little North Fork. In regard to Kelly and Cayuse Creeks, we  should do whatever we can to protect the rather remarkable area  that that is now.  Specifically, I would suggest that somewhere in the neighborhood  of 200,000 acres be designated as wilderness in the Mallard-Larkins  area; this should include the Minnesaka and Canyon creek drainages as well as the canyon of the Little North Fork.  In regard to the region emcompassing Kelly and Cayuse Creeks,  I would suggest that some 50,000 acres be added to the RARE II  recommendation for the Great Burn Wilderness Area. These additional acres would serve primarily to protect Kelly and Cayuse  Creeks from any damage to the remarkable and nationally recognized quality of these streams. This area is also a prime habitat for  719  such endangered species as the wolf and grizzly. I might mention  that just 2 weeks ago friends of mine from Iowa, of all places, came  to visit me primarily for the purpose of being able to fish Kelly and  Cayuse Creeksâ€”these friends spent no little amount of money  while here in Idaho. In spite of my lack of economic expertise, I  would still venture to suggest that the economic benefits gained by  protecting Kelly and Cayuse Creeks will exceed any short-term  gains from logging these areas, especially in light of the relatively  low timber values in this region.  In areas that are deemed suitable for development I would urge  that increased emphasis be given to finding innovative ways of  road construction and logging so as to minimize environmental  damage, and so that these areas can indeed serve a multiple-use  function. Any costs resulting from the utilization of careful logging  practices are certainly justified by the varied benefits from having  done so.  Finally, I realize, Senator, that you are very much in favor of deciding the wilderness issue now, once and for all. Would it be possible for you to reconsider this objective? Through the years I have  observed that you have the rather rare, but admirable, capacity of  being able to listen to others and subsequently change your views,  and I hope that this might be the case in this instance. I feel  uneasy that final decisions made now might not be in our longterm interests, especially since at this time it is almost impossible     to determine what these long-term interests are. Times change,  ideas change, circumstances change. Therefore, would it not be  more prudent to attempt to arrive at a sound decision now on what  to do with enough of the lands in question so as to reasonably  lessen the incertainties of the timber industry, and yet leave to the  process of time and further consideration decisions on areas for  which either data is incomplete or for which we cannot now fairly  determine what the future should be. Surely we should leave some  of the flexibility and options that we currently have to those that  follow us. Many of the trees have been and will be present for hundreds of years; this should give some slight perspective on the timeframe we might use to decide their fate.",Thank you very much. Marvin Lambrecht.,BILL VOXMAN,"MOSCOW, IDAHO",Voxman,Bill,h2d2,"voxman, bill",Moscow (CITY); United States (COUNTRY); Mud Lake (LAKE); Kelly Creek (STREAM); Mallard-Larkins (WILDERNESS); Minnesaka (STREAM); Canyon Creek (STREAM); the Little North Fork (STREAM); Kelly and Cayuse Creeks (STREAM); Canyon (LANDFORM); the Great Burn Wilderness Area (WILDERNESS); Cayuse Creek (STREAM); Creeks (STREAM); Iowa (STATE),text
Aug-17-1983,aug-17-1983-goebel-jeff,,Moscow (CITY);America (COUNTRY);Mallard-Larkins (WILDERNESS),"Goebel, Jeff",,Moscow,"Moscow, Idaho",m,"Mr. Goebel. Thank you, Senator. I&#39;m a small businessman in  Moscow. One of America&#39;s greatest resources is our wilderness.  Idaho is blessed with an abundance of this resource which is a  reason and great privilege to live here. Where virgin wilderness is  a fantasy in many parts of the world, it is still a reality here in  Idaho.  People visit America to see this wilderness, bear, moose, big horn  sheep roaming freely, eagles soaring in the sky. We must at all  costs preserve this American heritage. Wilderness is a part of our  Nation&#39;s past history. Please help it to be a part of our Nation&#39;s  future.  Of the 6.5 million roadless acres in Idaho&#39;s national forests, there     are areas of uncommon beauty and of unique recreational value.  The endangered Idaho wilderness core must be preserved, especially the Mallard-Larkin area.  Thank you.",Thank you. Antone Holmquist.,JEFF GOEBEL,"MOSCOW, IDAHO",Goebel,Jeff,h2d2,"goebel, jeff",Moscow (CITY); America (COUNTRY); Mallard-Larkins (WILDERNESS),text
Aug-17-1983,aug-17-1983-thurman-kally,,Moscow (CITY);Moscow (CITY);America (COUNTRY);New York City (CITY);America (COUNTRY),"Thurman, Kally",,Moscow,"Moscow, Idaho",f,"Ms. Thurman. Hello, I&#39;m Kally Thurman. I&#39;m a small businesswoman in Moscow, Idaho. I developed a minimall on Main Street  in Moscow. It houses seven small businesses, two of my own. I&#39;m  here to address you today eye to eye because I&#39;m real interested in  Idaho remaining Idaho.  The wilderness experience is something that I believe is a ground  note to small business in Idaho. The outfitters, the people who  create toursâ€”there is a whole ground noteâ€”a whole beginning to a  whole new economy. Small business is real difficult in America  today. And if you want to live in a real nice place and not get rich     but survive, the answer is in small business. Jokingly I call myself  a pinko capitalist because I create jobs for myself and my friends  and my community. I am committed to building my community.  The way to do that is to keep Idaho Idaho. There are lots of jobs  that can be created out of remainingâ€”out of creating and keeping  sacred wilderness areas in Idaho.  Once you remove the wilderness of Idaho, you also remove the  wilderness experience. When you remove the wilderness experience, you have removed part of our intellect, part of our cultural  history. Our cultural history comes from the wilderness experience,  and Idaho has a wealth of those. New York City has dozens of  dance troops, but they don&#39;t get rid of half of them.  It&#39;s realy important that we keep the wilderness there so that  that experience is there for our children, for our children&#39;s children, for seven generations look forward. There is no remaking of a  wilderness area. That&#39;s real important that we keep it sacred  there. And it&#39;s only a blind area that things that you can go in and  make some quick money on logging that because there&#39;s no remaking it. It&#39;s gone. That is what I&#39;m committed to. Because not only  are you taking away my culture, my Idaho, my experience, but you  are denying the rest of Americaâ€”not only Idahoans, but the rest of  America, knowing what it is to walk on land that no one else has  done before you. That&#39;s real important. And that&#39;s where Idaho&#39;s  next dollar is going to come from.  Today I brought to you a catalog. This is the Nation&#39;s largest  river supply house. It&#39;s a mail order business. Those outside dollars  end up in Idaho pockets. This is my model. And I&#39;m going to build  businesses that do that.  723",Thank you. Hank Boomer.,KALLY THURMAN,"MOSCOW, IDAHO",Thurman,Kally,h2d2,"thurman, kally",Moscow (CITY); America (COUNTRY); New York City (CITY),text
Aug-17-1983,aug-17-1983-bull-ruth-e,,Moscow (CITY);Elk Mountain (LANDFORM);Summit (LANDFORM);Sneakfoot Meadows (FOREST);Colorado (STATE),"Bull, Ruth E.",,Moscow,"Moscow, Idaho",f,"Ms. Bull. I&#39;m from Moscow, Idaho. And I&#39;m 61 years old. And I  want to tell you that because I still get into the back country. And  I&#39;m strongly in favor of dispersed wilderness areas. And I m not  going to backpack in for 8 days. And I want to tell you about Elk  Summit where I went last weekend. And I think that should be included along with the 10 core areas. I went up the Walton Lakes  Road past Sneakfoot Meadows and Marion Meadows. And I met elk  on the trail. And we sleptâ€”there was just two of us. We slept on a  beach by a mountain lake and moose was splashing in the water.  We met no one on the whole trail. We were there 2 days, in and  out. We saw high mountain meadows with gentian, which is very  rare. I&#39;ve never seen any, anywhere except in the Elk Summit  area. Bear grass for 9 miles. Beautiful trail. The timber was, I  thought, mostly small and the woods were open. It was a beautiful  area. And I agree with the people who say that that&#39;s what makes  Idaho special.  724  I&#39;ve lived in a lot of places including Colorado. And I see those  places filling up and losing what makes them unique. And every  time I come back to Idaho, I think this is one of the last places  where you can have wilderness and true solitude in your backyard.  And I urge you to please keep it that way.  And I want to add, too, that the Multiple Use/Sustained Yield  Act considers recreational use equal to production of timber, watershed protection, and those other uses. And it clearly states that  production of timber for economic reasons is not to have superior  value over the other uses.  Thank you. Thank you for coming.",,RUTH E. BULL,"MOSCOW, IDAHO",Bull,Ruth E.,h2d2,"bull, ruth e.",Moscow (CITY); Elk Mountain (LANDFORM); Summit (LANDFORM); Sneakfoot Meadows (FOREST); Colorado (STATE),text
Aug-17-1983,aug-17-1983-carleson-tom,,Mallard-Larkins Pioneer Area (FOREST);Lakes Buttee Elizabeth Lakes (LAKE);Mallard-Larkins Pioneer Area (FOREST);Mallard-Larkins (WILDERNESS);Lakes Butte (LAKE);Minnesaka River (STREAM);Mallard-Larkins (WILDERNESS);Isabella Creek (STREAM);Bear Grass Ridge (LANDFORM);Heart Lake (LAKE);Alpine Zone (STREAM);Goat Ridge (LANDFORM);Isabella Creek (STREAM);Collins Creek (STREAM),"Carleson, Tom",,Moscow,"Moscow, Idaho",m,"Mr. Carleson. Senator Symms, Senator McClure, I appreciate  the opportunity to testify today. I also would like to add a little fire  to the cause of the Mallard-Larkins Pioneer Area. I&#39;d like to have  an area to include not only that but the adjacent Lakes ButteeElizabeth Lakes area to the east and south to make an integrated  wilderness area. And in theâ€”my testimony, I have a map that&#39;s attached. This region would consist of roughly 180,000 acres includ   ing about 30,500 acres of the current Mallard-Larkins Pioneer  Area. High mountain lakes in the Mallard-Larkins, Five Lakes  Butte, Elizabeth Mountain-Cold Springs Peak Area would be protected as well as elk-grazing areas along the Minnesaka River.  I recently spent about 5 days in the Mallard-Larkins area with  my two boys and know of no other place in northern Idaho that  has the rugged beauty and variety of wildlife and terrain that this  area offers. In the short time there, we saw an elk herd, mountain  goats, grouse, and eagles. We hiked through three life zones from  Mountain Forest Zone of ancient cedar, fir, and ferns and Devil&#39;s  Club around Isabella Creek through the Subalpine Zone of Bear  Grass and Subalpine Fir around Heart Lake up to the Alpine Zone  of Red Heather and Indian Paintbrush along Goat Ridge. Trails  within this area provide access to many of the mountain lakes over  a 1- to 2-day trip and the more primitive rivers within the area  would require about 2 to 4 days.  The region is not too amenable to logging. There is extensive  road slumping along the Isabella Creek area and the poorly logged  areas around Collins Creek illustrate the difficulties of logging  these areas. In view of these problems and the unique beauty of  this area, I recommend designating this area as a wilderness  region. Thank you.",,TOM CARLESON,"MOSCOW, IDAHO",Carleson,Tom,h2d2,"carleson, tom",Mallard-Larkins Pioneer Area (FOREST); Lakes Buttee Elizabeth Lakes (LAKE); Mallard-Larkins (WILDERNESS); Lakes Butte (LAKE); Minnesaka River (STREAM); Isabella Creek (STREAM); Bear Grass Ridge (LANDFORM); Heart Lake (LAKE); Alpine Zone (STREAM); Goat Ridge (LANDFORM); Collins Creek (STREAM),text
Aug-17-1983,aug-17-1983-driscoll-wally,,Upper Priest Lake (LAKE);the Selkirk Crest (LANDFORM);Long Canyon (LANDFORM),"Driscoll, Wally",,Moscow,"Moscow, Idaho",f,"Mr. Driscoll. My name is Wally Driscoll. And I, too, am an  Idaho native. I was born and raised in this area. And I spent most  of my life here. I want to speak initially to address an earlierâ€”Dr.  Cassell from the Lewiston School District, who suggested that the  best way to supportâ€”I think he was suggesting that one of the best     ways to support education in this State was to open up existing  roadless areas to logging. And I would just really caution us in  terms of that attitude. And I&#39;d start by saying that the reason I&#39;ve  continued to live in this area is because of some things that money  can&#39;t buy. And I know I could go elsewhere and earn more money.  But I have chosen to make this my home. I&#39;ve chosen to make this  my home because Iâ€”Iâ€”there are some things that are just real important that can&#39;t be found elsewhere.  Specifically, the quality of life as represented by water quality  and good fishing and clean air, wildlife and wilderness is particularly important to me. And I&#39;m going to limit, now, my remarks to  just a few areas that I&#39;ve personally experienced.  First of all, Upper Priest Lake is an area that my family and I  have gone to since I was a little boy. And some of my earliest  memories are etched there. This last Memorial Day I took the  family in there again. And I was amazed at just how many people  were there. The only hardship I encountered in backpacking with  my youngest son was that there was too many people there. And  Iâ€”which reinforcedâ€”I was dismayed at that and I was also reinforced because I realized that there are an awful lot of people that  are seeking that kind of experience. Now, I would urge you toâ€”to  protect that kind of experience. Specifically in that area and in  other areas throughout the State.  Long Canyon and the Selkirk Crest are other areas that I have  visited in the course of the last several years. And from what I understand, Long Canyon is one of the last major canyons in the area  that does not have a logging road carved through it. And in walking through that area, I was amazed. And I asked myself &#39;Who do  740  I have to thank for this?&#39; And I&#39;m not sure who it was, but, indeed,  if you decided to protect it, I would certainly thank you and support you in years to come for doing that. We should take care, I  think, of at least one forested area in the Northern Panhandle so  that our children will be able to see what Idaho really is and has  been for years to come.",,WALLY DRISCOLL,"MOSCOW, IDAHO",Driscoll,Wally,h2d2,"driscoll, wally",Upper Priest Lake (LAKE); the Selkirk Crest (LANDFORM); Long Canyon (LANDFORM),text
